name,Reference,inchi,Organism,DetectedBy,TypeOfExperiment,TypeOfDetection,Comments,,,
cellobiose,10.1016/j.bbrc.2017.11.157,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2",Thermobifida fusca,CelR,in vivo,direct,cellobiose using the transcriptional factor CelR from Thermobifida fusca,,,
2-hydroxybenzaldehyde,10.1021/sb3000244,"InChI=1S/C7H6O2/c8-5-6-3-1-2-4-7(6)9/h1-5,9H",Acinetobacter baylyi ADP1,transcription factor,in vivo,direct,"SalR, BenM, and CatM regulated operons were cross-regulated and activated by small molecules salicylate, benzoate, catechol, or cis,cis-muconate but",,,
benzoate,10.1021/sb3000244,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)/p-1",Acinetobacter baylyi ADP1,transcription factor,in vivo,direct,"The benABCDE operon is regulated by BenM, responding to both benzoate and its metabolite cis,cis- muconate.13",,,
benzoate,10.1021/sb3000244,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)/p-1",Acinetobacter baylyi ADP1,transcription factor,in vivo,direct,"SalR, BenM, and CatM regulated operons were cross-regulated and activated by small molecules salicylate, benzoate, catechol, or cis,cis-muconate but",,,
"cis,cis- muconate",10.1021/sb3000244,"InChI=1S/C6H6O4/c7-5(8)3-1-2-4-6(9)10/h1-4H,(H,7,8)(H,9,10)",Acinetobacter baylyi ADP1,transcription factor,in vivo,direct,"The benABCDE operon is regulated by BenM, responding to both benzoate and its metabolite cis,cis- muconate.13",,,
"cis,cis- muconate",10.1021/sb3000244,"InChI=1S/C6H6O4/c7-5(8)3-1-2-4-6(9)10/h1-4H,(H,7,8)(H,9,10)",Acinetobacter baylyi ADP1,transcription factor,in vivo,direct,"SalR, BenM, and CatM regulated operons were cross-regulated and activated by small molecules salicylate, benzoate, catechol, or cis,cis-muconate but",,,
Salicylate,10.1021/sb3000244,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",Acinetobacter baylyi ADP1,transcription factor,in vivo,direct,"The salAR is controlled by SalR, which can be activated by salicylate",,,
p-coumaric acid ,10.1021/acssynbio.7b00009,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",Bacillus subtilis,PadR,in vivo,direct,"p-coumaric acid biosensor based on the Bacillus subtilis transcriptional repressor PadR by varying its ribosomal binding site. Furthermore, we demonstrate the functionality of this p-coumaric acid biosensor in Escherichia coli and Corynebacterium glutamicum.",,,
cadmium,10.1021/sb500286r,InChI=1S/Cd,Bacillus subtilis,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
cadmium,10.1021/sb500286r,InChI=1S/Cd,Bacillus subtilis,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
cadmium,10.1021/sb500286r,InChI=1S/Cd,Bacillus subtilis,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
cadmium lead,10.1021/sb500286r,,Bacillus subtilis,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
lead,10.1021/sb500286r,InChI=1S/Pb,Bacillus subtilis,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
